No.,Name,Net Worth USD billion,Age,Gender,Nationality,Source(s) of wealth,Industry
1,Carlos Slim Helu,69.0,72,M,Mexico,telecom,Telecom
2,Bill Gates,61.0,56,M,United States of America,Microsoft,Technology
3,Warren Buffett,44.0,81,M,United States of America,Berkshire Hathaway,Finance
4,Bernard Arnault,41.0,63,M,France,LVMH,Fashion & Retail
3,Amancio Ortega,37.5,75,M,Spain,Zara,Fashion & Retail
6,Larry Ellison,36.0,67,M,United States of America,Oracle,Technology
7,Eike Batista,30.0,55,M,Brazil,"mining, oil",Mining
8,Stefan Persson,26.0,64,M,Sweden,H&M,Fashion & Retail
9,Li Ka-shing,25.5,83,M,Hong Kong,diversified,Diversified
10,Karl Albrecht,25.4,92,M,Germany,Aldi,Fashion & Retail
11,Christy Walton,25.3,57,F,United States of America,Wal-Mart,Fashion & Retail
12,Charles Koch,25.0,76,M,United States of America,diversified,Diversified
12,David Koch,25.0,71,M,United States of America,diversified,Diversified
14,Sheldon Adelson,24.9,78,M,United States of America,casinos,Gambling & Casinos
15,Liliane Bettencourt,24.0,89,F,France,L'Oreal,Fashion & Retail
16,Jim Walton,23.7,64,M,United States of America,Wal-Mart,Fashion & Retail
17,Alice Walton,23.3,62,F,United States of America,Wal-Mart,Fashion & Retail
18,S. Robson Walton,23.1,68,M,United States of America,Wal-Mart,Fashion & Retail
19,Mukesh Ambani,22.3,54,M,India,"petrochemicals, oil & gas",Energy
20,Michael Bloomberg,22.0,70,M,United States of America,Bloomberg LP,Media & Entertainment
21,Lakshmi Mittal,20.7,61,M,India,steel,Mining
22,George Soros,20.0,81,M,United States of America,hedge funds,Finance
23,Michele Ferrero,19.0,85,F,Italy,chocolates,Food & Beverage
24,Sergey Brin,18.7,38,M,United States of America,Google,Technology
24,Larry Page,18.7,39,M,United States of America,Google,Technology
26,Jeff Bezos,18.4,48,M,United States of America,Amazon.com,Technology
27,Thomas & Raymond Kwok,18.3,,M,Hong Kong,real estate,Real Estate
28,Alisher Usmanov,18.1,58,M,Russia,"steel, telecom, investments",Mining
29,Prince Alwaleed Bin Talal Alsaud,18.0,57,M,Saudi Arabia,investments,Finance
29,Lee Shau Kee,18.0,84,M,Hong Kong,diversified,Diversified
29,Georgina Rinehart,18.0,58,F,Australia,Mining,Mining
32,"Theo Albrecht, Jr.",17.8,,M,Germany,"Aldi, Trader Joe's",Fashion & Retail
32,Iris Fontbona,17.8,69,F,Chile,mining,Mining
34,Michael Otto,17.6,68,M,Germany,"retail, real estate",Fashion & Retail
35,David Thomson,17.5,54,M,Canada,media,Media & Entertainment
35,Mark Zuckerberg,17.5,27,M,United States of America,Facebook,Technology
37,Ricardo Salinas Pliego,17.4,56,M,Mexico,"retail, media",Fashion & Retail
38,Alberto Bailleres Gonzalez,16.5,80,M,Mexico,mining,Mining
39,Rinat Akhmetov,16.0,45,M,Ukraine,"steel, coal",Mining
39,Cheng Yu-tung,16.0,86,M,Hong Kong,diversified,Diversified
41,Michael Dell,15.9,47,M,United States of America,Dell,Technology
41,Vladimir Lisin,15.9,55,M,Russia,"steel, transport",Mining
41,Azim Premji,15.9,66,M,India,software,Technology
44,Steve Ballmer,15.7,56,M,United States of America,Microsoft,Technology
45,Alexey Mordashov,15.3,46,M,Russia,"steel, investments",Mining
46,Vladimir Potanin,14.5,51,M,Russia,metals,Mining
47,Phil Knight,14.4,74,M,United States of America,Nike,Fashion & Retail
48,Paul Allen,14.2,59,M,United States of America,"Microsoft, investments",Technology
48,German Larrea Mota Velasco,14.2,58,M,Mexico,mining,Mining
50,Carl Icahn,14.0,76,M,United States of America,leveraged buyouts,Finance
50,Birgit Rausing,14.0,88,F,Sweden,packaging,Food & Beverage
52,"Forrest Mars, Jr.",13.8,80,M,United States of America,candy,Food & Beverage
52,Jacqueline Mars,13.8,72,F,United States of America,candy,Food & Beverage
52,John Mars,13.8,75,M,United States of America,candy,Food & Beverage
52,Joseph Safra,13.8,73,M,Brazil,banking,Finance
56,Vagit Alekperov,13.5,61,M,Russia,Lukoil,Energy
57,Mikhail Fridman,13.4,47,M,Russia,"oil, banking, telecom",Energy
