No.,Name,Net Worth USD billion,Age,Gender,Nationality,Source(s) of wealth,Industry
58,Mikhail Prokhorov,13.2,46,M,Russia,investments,Finance
59,Susanne Klatten,13.0,49,F,Germany,"BMW, pharmaceuticals",Automotive
59,Francois Pinault,13.0,75,M,France,retail,Fashion & Retail
61,Mohammed Al Amoudi,12.5,67,M,Saudi Arabia,"oil, diversified",Energy
61,Anne Cox Chambers,12.5,92,F,United States of America,media,Media & Entertainment
61,John Paulson,12.5,56,M,United States of America,hedge funds,Finance
64,Robert Kuok,12.4,88,M,Malaysia,diversified,Diversified
64,Luis Carlos Sarmiento,12.4,79,M,Colombia,banking,Finance
64,Viktor Vekselberg,12.4,54,M,Russia,"oil, metals",Mining
67,Antonio Ermirio de Moraes,12.2,83,M,Brazil,diversified,Diversified
68,Roman Abramovich,12.1,45,M,Russia,"steel, investments",Diversified
69,Donald Bren,12.0,79,M,United States of America,real estate,Real Estate
69,Jorge Paulo Lemann,12.0,72,M,Brazil,beer,Food & Beverage
69,Ronald Perelman,12.0,69,M,United States of America,leveraged buyouts,Finance
72,Len Blavatnik,11.9,54,M,United States of America,diversified,Diversified
72,Leonid Mikhelson,11.9,56,M,Russia,"gas, chemicals",Energy
74,Leonardo Del Vecchio,11.5,76,M,Italy,eyewear,Fashion & Retail
75,John Fredriksen,11.3,67,M,Cyprus,shipping,Logistics
76,Aliko Dangote,11.2,54,M,Nigeria,"sugar, flour, cement",Manufacturing
76,Stefan Quandt,11.2,45,M,Germany,BMW,Automotive
78,Gerald Cavendish Grosvenor,11.0,60,M,United Kingdom,real estate,Real Estate
78,Harold Hamm,11.0,66,M,United States of America,oil & gas,Energy
80,Savitri Jindal,10.9,62,M,India,steel,Mining
81,Andrey Melnichenko,10.8,40,M,Russia,"coal, fertilizers",Energy
82,James Simons,10.7,73,M,United States of America,hedge funds,Finance
83,Ernesto Bertarelli,10.6,46,M,Switzerland,"biotech, investments",Healthcare
84,Jack Taylor,10.4,89,M,United States of America,Enterprise Rent-A-Car,Automotive
85,Abigail Johnson,10.3,50,F,United States of America,Fidelity,Finance
86,Robin Li,10.2,43,M,China,Technology,Technology
86,"Eliodoro, Bernardo & Patricia Matte",10.2,,,Chile,paper,Manufacturing
88,Ray Dalio,10.0,62,M,United States of America,hedge funds,Finance
88,George Kaiser,10.0,69,M,United States of America,"oil & gas, banking",Energy
88,Johanna Quandt,10.0,85,F,Germany,BMW,Automotive
88,Hans Rausing,10.0,86,M,Sweden,packaging,Food & Beverage
88,Tadashi Yanai,10.0,63,M,Japan,retail,Fashion & Retail
93,Serge Dassault,9.9,86,M,France,aviation,Diversified
93,Ananda Krishnan,9.9,73,M,Malaysia,telecoms,Telecom
95,Klaus-Michael Kuhne,9.8,74,M,Germany,shipping,Logistics
96,Pallonji Mistry,9.7,82,M,Ireland,construction,Real Estate
97,Alejandro Santo Domingo Davila,9.5,35,M,Colombia,beer,Food & Beverage
98,Horst Paulmann,9.3,77,M,Chile,retail,Fashion & Retail
99,Gennady Timchenko,9.1,59,M,Russia,oil & gas,Energy
100,Laurene Powell Jobs,9.0,48,F,United States of America,"Apple, Disney",Technology
100,David & Simon Reuben,9.0,69,M,United Kingdom,"investments, real estate",Real Estate
100,Dmitry Rybolovlev,9.0,45,M,Russia,fertilizer,Manufacturing
100,Harold Simmons,9.0,80,M,United States of America,investments,Finance
