No.,Name,Nationality,Age,Gender,Net Worth USD billion,Source(s) of wealth,Industry
85,Abigail Johnson,United States of America,53.0,F,13.4,Money management,Finance
85,Luis Carlos Sarmiento,Colombia,82.0,M,13.4,Banking,Finance
87,Lei Jun,China,45.0,M,13.2,Smartphones,Technology
87,Charoen Sirivadhanabhakdi,Thailand,70.0,M,13.2,Beverages,Food & Beverage
89,Alexey Mordashov,Russia,49.0,M,13.0,"Steel, investments",Mining
89,Marcel Herrmann Telles,Brazil,65.0,M,13.0,Beer,Food & Beverage
91,Gerald Cavendish Grosvenor,United Kingdom,63.0,M,12.6,Real estate,Real Estate
92,Hans Rausing,Sweden,88.0,M,12.5,Packaging,Food & Beverage
92,Jack Taylor,United States of America,92.0,M,12.5,Enterprise Rent-A-Car,Automotive
94,Charles Butt,United States of America,77.0,M,12.3,Supermarkets,Fashion & Retail
94,Gina Rinehart,Australia,61.0,F,12.3,Mining,Mining
96,Vagit Alekperov,Russia,64.0,M,12.2,Lukoil,Energy
96,Harold Hamm,United States of America,69.0,M,12.2,Oil & gas,Energy
96,Patrick Soon-Shiong,United States of America,63.0,M,12.2,Pharmaceuticals,Healthcare
99,Stefano Pessina,Italy,73.0,M,12.1,Drugstores,Fashion & Retail
100,Richard Kinder,United States of America,70.0,M,12.0,Pipelines,Energy
100,Elon Musk,United States of America,43.0,M,12.0,Tesla Motors,Automotive
100,Stephen Schwarzman,United States of America,68.0,M,12.0,Investments,Finance
